Accession No.	Order	Family	Subfamily	Genus
MG945756.1	unassigned	Microviridae	unassigned	unassigned
MG945267.1	unassigned	Microviridae	unassigned	unassigned
MH616891.2	unassigned	Microviridae	unassigned	unassigned
MG945150.1	unassigned	Microviridae	unassigned	unassigned
MG945602.1	unassigned	Microviridae	unassigned	unassigned
MG945543.1	unassigned	Microviridae	unassigned	unassigned
MG945508.1	unassigned	Microviridae	unassigned	unassigned
MG945444.1	unassigned	Microviridae	unassigned	unassigned
MG883714.1	unassigned	Microviridae	unassigned	unassigned
MG945398.1	unassigned	Microviridae	unassigned	unassigned
LT985592.1	unassigned	unassigned	unassigned	unassigned
KX513872.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945675.1	unassigned	Microviridae	unassigned	unassigned
MG945510.1	unassigned	Microviridae	unassigned	unassigned
MG945663.1	unassigned	Microviridae	unassigned	unassigned
MG945424.1	unassigned	Microviridae	unassigned	unassigned
MG945719.1	unassigned	Microviridae	unassigned	unassigned
KX513867.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945760.1	unassigned	Microviridae	unassigned	unassigned
MG945364.1	unassigned	Microviridae	unassigned	unassigned
KT264818.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945864.1	unassigned	Microviridae	unassigned	unassigned
KT264765.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945811.1	unassigned	Microviridae	unassigned	unassigned
MG945851.1	unassigned	Microviridae	unassigned	unassigned
MG945158.1	unassigned	Microviridae	unassigned	unassigned
MG945787.1	unassigned	Microviridae	unassigned	unassigned
KT264823.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945681.1	unassigned	Microviridae	unassigned	unassigned
MG945194.1	unassigned	Microviridae	unassigned	unassigned
KT264830.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945700.1	unassigned	Microviridae	unassigned	unassigned
MG945526.1	unassigned	Microviridae	unassigned	unassigned
MG945542.1	unassigned	Microviridae	unassigned	unassigned
KT264825.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG883722.1	unassigned	Microviridae	unassigned	unassigned
MK496731.1	unassigned	Microviridae	unassigned	unassigned
MG945181.1	unassigned	Microviridae	unassigned	unassigned
MG945744.1	unassigned	Microviridae	unassigned	unassigned
MG945645.1	unassigned	Microviridae	unassigned	unassigned
MG945740.1	unassigned	Microviridae	unassigned	unassigned
KX513874.1	unassigned	Microviridae	Gokushovirinae	unassigned
MK496732.1	unassigned	Microviridae	unassigned	unassigned
MG945905.1	unassigned	Microviridae	unassigned	unassigned
MG945231.1	unassigned	Microviridae	unassigned	unassigned
MG945520.1	unassigned	Microviridae	unassigned	unassigned
MK496733.1	unassigned	Microviridae	unassigned	unassigned
MG945796.1	unassigned	Microviridae	unassigned	unassigned
MG945402.1	unassigned	Microviridae	unassigned	unassigned
MG945603.1	unassigned	Microviridae	unassigned	unassigned
MH029514.1	unassigned	Microviridae	unassigned	unassigned
MG945548.1	unassigned	Microviridae	unassigned	unassigned
MG945211.1	unassigned	Microviridae	unassigned	unassigned
MG945517.1	unassigned	Microviridae	unassigned	unassigned
MK249156.1	unassigned	Microviridae	unassigned	Microvirus
MG945736.1	unassigned	Microviridae	unassigned	unassigned
MK496734.1	unassigned	Microviridae	unassigned	unassigned
MG945598.1	unassigned	Microviridae	unassigned	unassigned
MG945777.1	unassigned	Microviridae	unassigned	unassigned
MH617652.2	unassigned	Microviridae	unassigned	unassigned
MG945553.1	unassigned	Microviridae	unassigned	unassigned
KT264834.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945684.1	unassigned	Microviridae	unassigned	unassigned
MG883719.1	unassigned	Microviridae	unassigned	unassigned
MG945617.1	unassigned	Microviridae	unassigned	unassigned
MG945393.1	unassigned	Microviridae	unassigned	unassigned
MG945573.1	unassigned	Microviridae	unassigned	unassigned
MG945589.1	unassigned	Microviridae	unassigned	unassigned
MG945907.1	unassigned	Microviridae	unassigned	unassigned
KT264807.1	unassigned	Microviridae	Gokushovirinae	unassigned
MK496735.1	unassigned	Microviridae	unassigned	unassigned
MG945215.1	unassigned	Microviridae	unassigned	unassigned
MK496736.1	unassigned	Microviridae	unassigned	unassigned
MG945342.1	unassigned	Microviridae	unassigned	unassigned
MG945884.1	unassigned	Microviridae	unassigned	unassigned
MG945667.1	unassigned	Microviridae	unassigned	unassigned
MG945273.1	unassigned	Microviridae	unassigned	unassigned
MK765620.1	unassigned	Microviridae	unassigned	unassigned
MH617026.2	unassigned	Microviridae	unassigned	unassigned
MH617172.1	unassigned	Inoviridae	unassigned	unassigned
MH617492.1	unassigned	Inoviridae	unassigned	unassigned
MG945718.1	unassigned	Microviridae	unassigned	unassigned
MH617331.2	unassigned	Microviridae	unassigned	unassigned
MG945355.1	unassigned	Microviridae	unassigned	unassigned
MG945190.1	unassigned	Microviridae	unassigned	unassigned
MG945754.1	unassigned	Microviridae	unassigned	unassigned
MH617608.2	unassigned	Microviridae	unassigned	unassigned
MG945608.1	unassigned	Microviridae	unassigned	unassigned
KX513869.1	unassigned	Microviridae	Gokushovirinae	unassigned
MK496737.1	unassigned	Microviridae	unassigned	unassigned
MG945163.1	unassigned	Microviridae	unassigned	unassigned
MH617213.2	unassigned	Microviridae	unassigned	unassigned
MG945601.1	unassigned	Microviridae	unassigned	unassigned
MK496738.1	unassigned	Microviridae	unassigned	unassigned
KT264757.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945551.1	unassigned	Microviridae	unassigned	unassigned
MG945702.1	unassigned	Microviridae	unassigned	unassigned
MG945463.1	unassigned	Microviridae	unassigned	unassigned
MG945560.1	unassigned	Microviridae	unassigned	unassigned
MG945407.1	unassigned	Microviridae	unassigned	unassigned
MG945506.1	unassigned	Microviridae	unassigned	unassigned
MH029515.1	unassigned	Microviridae	unassigned	unassigned
MH617084.2	unassigned	Microviridae	unassigned	unassigned
MG945586.1	unassigned	Microviridae	unassigned	unassigned
MH617219.1	unassigned	Inoviridae	unassigned	unassigned
MG945459.1	unassigned	Microviridae	unassigned	unassigned
MG945731.1	unassigned	Microviridae	unassigned	unassigned
MG945775.1	unassigned	Microviridae	unassigned	unassigned
MG883725.1	unassigned	Microviridae	unassigned	unassigned
MG945247.1	unassigned	Microviridae	unassigned	unassigned
MH616692.2	unassigned	Microviridae	unassigned	unassigned
MG945646.1	unassigned	Microviridae	unassigned	unassigned
MG945768.1	unassigned	Microviridae	unassigned	unassigned
MG945541.1	unassigned	Microviridae	unassigned	unassigned
MG945594.1	unassigned	Microviridae	unassigned	unassigned
MK496739.1	unassigned	Microviridae	unassigned	unassigned
KT264819.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945153.1	unassigned	Microviridae	unassigned	unassigned
MH616786.2	unassigned	Microviridae	unassigned	unassigned
MG945486.1	unassigned	Microviridae	unassigned	unassigned
MK263179.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617304.1	unassigned	Microviridae	unassigned	unassigned
MG945156.1	unassigned	Microviridae	unassigned	unassigned
MG945699.1	unassigned	Microviridae	unassigned	unassigned
MG025518.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945228.1	unassigned	Microviridae	unassigned	unassigned
MG945673.1	unassigned	Microviridae	unassigned	unassigned
MG945691.1	unassigned	Microviridae	unassigned	unassigned
MH617500.1	unassigned	Microviridae	unassigned	unassigned
MK496740.1	unassigned	Microviridae	unassigned	unassigned
MH617099.2	unassigned	Microviridae	unassigned	unassigned
MG945340.1	unassigned	Microviridae	unassigned	unassigned
MG945816.1	unassigned	Microviridae	unassigned	unassigned
MG945711.1	unassigned	Microviridae	unassigned	unassigned
MG945205.1	unassigned	Microviridae	unassigned	unassigned
MK249159.1	unassigned	Microviridae	unassigned	Microvirus
MK249157.1	unassigned	Microviridae	unassigned	Microvirus
MG945853.1	unassigned	Microviridae	unassigned	unassigned
MH617133.1	unassigned	Microviridae	unassigned	unassigned
MH931003.1	unassigned	Microviridae	unassigned	unassigned
MG945726.1	unassigned	Microviridae	unassigned	unassigned
MH992181.1	unassigned	Microviridae	unassigned	unassigned
MH616711.1	unassigned	Inoviridae	unassigned	unassigned
MH617237.2	unassigned	Microviridae	unassigned	unassigned
MH617069.2	unassigned	Microviridae	unassigned	unassigned
MH617527.2	unassigned	Microviridae	unassigned	unassigned
MG945346.1	unassigned	Microviridae	unassigned	unassigned
MH319748.1	Caudovirales	Myoviridae	unassigned	unassigned
MG945318.1	unassigned	Microviridae	unassigned	unassigned
MG945165.1	unassigned	Microviridae	unassigned	unassigned
MG945333.1	unassigned	Microviridae	unassigned	unassigned
MG945814.1	unassigned	Microviridae	unassigned	unassigned
MG945701.1	unassigned	Microviridae	unassigned	unassigned
MG945592.1	unassigned	Microviridae	unassigned	unassigned
KT264829.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH992182.1	unassigned	Microviridae	unassigned	unassigned
MH617597.2	unassigned	Microviridae	unassigned	unassigned
KT264831.1	unassigned	Microviridae	Gokushovirinae	unassigned
KT264824.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617698.2	unassigned	Microviridae	unassigned	unassigned
KT264809.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617418.1	unassigned	Microviridae	unassigned	unassigned
MK249127.1	unassigned	Microviridae	unassigned	Microvirus
MG945213.1	unassigned	Microviridae	unassigned	unassigned
MH617571.2	unassigned	Microviridae	unassigned	unassigned
MH617712.2	unassigned	Microviridae	unassigned	unassigned
MH616663.2	unassigned	Microviridae	unassigned	unassigned
MG883723.1	unassigned	Microviridae	unassigned	unassigned
MK249160.1	unassigned	Microviridae	unassigned	Microvirus
MH617765.2	unassigned	Microviridae	unassigned	unassigned
MG945295.1	unassigned	Microviridae	unassigned	unassigned
MK496741.1	unassigned	Microviridae	unassigned	unassigned
MG945202.1	unassigned	Microviridae	unassigned	unassigned
MG945325.1	unassigned	Microviridae	unassigned	unassigned
MG945570.1	unassigned	Microviridae	unassigned	unassigned
KT264810.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945491.1	unassigned	Microviridae	unassigned	unassigned
MG945587.1	unassigned	Microviridae	unassigned	unassigned
MG945679.1	unassigned	Microviridae	unassigned	unassigned
MG945413.1	unassigned	Microviridae	unassigned	unassigned
MH992173.1	unassigned	Microviridae	unassigned	unassigned
MH616748.2	unassigned	Microviridae	unassigned	unassigned
MG945862.1	unassigned	Microviridae	unassigned	unassigned
MK249165.1	unassigned	Microviridae	unassigned	Microvirus
MH617076.1	unassigned	Microviridae	unassigned	unassigned
MH617473.2	unassigned	Microviridae	unassigned	unassigned
MH572515.1	unassigned	Microviridae	unassigned	unassigned
MG945644.1	unassigned	Microviridae	unassigned	unassigned
MG945764.1	unassigned	Microviridae	unassigned	unassigned
MH029516.1	unassigned	Microviridae	unassigned	unassigned
MK496742.1	unassigned	Microviridae	unassigned	unassigned
MH617311.1	unassigned	Microviridae	unassigned	unassigned
MG945540.1	unassigned	Microviridae	unassigned	unassigned
MK765572.1	unassigned	Microviridae	unassigned	unassigned
MG945532.1	unassigned	Microviridae	unassigned	unassigned
KT264779.1	unassigned	Microviridae	Gokushovirinae	unassigned
KT264766.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945365.1	unassigned	Microviridae	unassigned	unassigned
MG945710.1	unassigned	Microviridae	unassigned	unassigned
MH572337.1	unassigned	Microviridae	unassigned	unassigned
MG945596.1	unassigned	Microviridae	unassigned	unassigned
MK765662.1	unassigned	Microviridae	unassigned	unassigned
MH617380.2	unassigned	Microviridae	unassigned	unassigned
MG945438.1	unassigned	Microviridae	unassigned	unassigned
MK249144.1	unassigned	Microviridae	unassigned	Microvirus
MK765573.1	unassigned	Microviridae	unassigned	unassigned
MH617433.2	unassigned	Microviridae	unassigned	unassigned
MH617113.2	unassigned	Microviridae	unassigned	unassigned
KM389299.1	unassigned	unassigned	unassigned	unassigned
MG883718.1	unassigned	Microviridae	unassigned	unassigned
KT264767.1	unassigned	Microviridae	Gokushovirinae	unassigned
KT264814.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945387.1	unassigned	Microviridae	unassigned	unassigned
MG945217.1	unassigned	Microviridae	unassigned	unassigned
MH617181.2	unassigned	Microviridae	unassigned	unassigned
MG945208.1	unassigned	Microviridae	unassigned	unassigned
MK765602.1	unassigned	Microviridae	unassigned	unassigned
MG945749.1	unassigned	Microviridae	unassigned	unassigned
MG945372.1	unassigned	Microviridae	unassigned	unassigned
MH616794.2	unassigned	Microviridae	unassigned	unassigned
KT264833.1	unassigned	Microviridae	Gokushovirinae	unassigned
MK249167.1	unassigned	Microviridae	unassigned	Microvirus
KT264758.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617389.2	unassigned	Microviridae	unassigned	unassigned
MG945144.1	unassigned	Microviridae	unassigned	unassigned
MH617456.2	unassigned	Microviridae	unassigned	unassigned
MH622934.2	unassigned	Microviridae	unassigned	unassigned
MH616980.2	unassigned	Microviridae	unassigned	unassigned
KT264769.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617296.1	unassigned	Microviridae	unassigned	unassigned
MH617010.2	unassigned	Microviridae	unassigned	unassigned
MH616777.2	unassigned	Microviridae	unassigned	unassigned
KP087948.1	unassigned	Microviridae	unassigned	unassigned
MG945192.1	unassigned	Microviridae	unassigned	unassigned
MH622928.2	unassigned	Microviridae	unassigned	unassigned
MG945363.1	unassigned	Microviridae	unassigned	unassigned
MH617617.1	unassigned	Inoviridae	unassigned	unassigned
MH622933.2	unassigned	Microviridae	unassigned	unassigned
MG945821.1	unassigned	Microviridae	unassigned	unassigned
MG945168.1	unassigned	Microviridae	unassigned	unassigned
KT264808.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617487.2	unassigned	Microviridae	unassigned	unassigned
MH617710.1	unassigned	Microviridae	unassigned	unassigned
KT264822.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617614.2	unassigned	Microviridae	unassigned	unassigned
MG945195.1	unassigned	Microviridae	unassigned	unassigned
MH617420.2	unassigned	Microviridae	unassigned	unassigned
MH617265.1	unassigned	Microviridae	unassigned	unassigned
MG945793.1	unassigned	Microviridae	unassigned	unassigned
MG945640.1	unassigned	Microviridae	unassigned	unassigned
MG945152.1	unassigned	Microviridae	unassigned	unassigned
MG945528.1	unassigned	Microviridae	unassigned	unassigned
MH616846.2	unassigned	Microviridae	unassigned	unassigned
MG945435.1	unassigned	Microviridae	unassigned	unassigned
MG945479.1	unassigned	Microviridae	unassigned	unassigned
MK249166.1	unassigned	Microviridae	unassigned	Microvirus
MG945161.1	unassigned	Microviridae	unassigned	unassigned
MG945265.1	unassigned	Microviridae	unassigned	unassigned
MH649140.2	unassigned	Microviridae	unassigned	unassigned
MG945289.1	unassigned	Microviridae	unassigned	unassigned
MG945507.1	unassigned	Microviridae	unassigned	unassigned
KP087956.1	unassigned	Microviridae	unassigned	unassigned
MH616775.2	unassigned	Microviridae	unassigned	unassigned
MK249162.1	unassigned	Microviridae	unassigned	Microvirus
MH029517.1	unassigned	Microviridae	unassigned	unassigned
MK496743.1	unassigned	Microviridae	unassigned	unassigned
KT264804.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945439.1	unassigned	Microviridae	unassigned	unassigned
MG945512.1	unassigned	Microviridae	unassigned	unassigned
KT264813.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945263.1	unassigned	Microviridae	unassigned	unassigned
MH572405.1	unassigned	Microviridae	unassigned	unassigned
MH029518.1	unassigned	Microviridae	unassigned	unassigned
MH572274.1	unassigned	Microviridae	unassigned	unassigned
MK496807.1	unassigned	Microviridae	unassigned	unassigned
MG945428.1	unassigned	Microviridae	unassigned	unassigned
MK249168.1	unassigned	Microviridae	unassigned	Microvirus
MH616638.1	unassigned	Microviridae	unassigned	unassigned
MG945628.1	unassigned	Microviridae	unassigned	unassigned
MK496808.1	unassigned	Microviridae	unassigned	unassigned
MH617677.2	unassigned	Microviridae	unassigned	unassigned
MH616712.2	unassigned	Microviridae	unassigned	unassigned
MG945330.1	unassigned	Microviridae	unassigned	unassigned
MG945329.1	unassigned	Microviridae	unassigned	unassigned
MG945583.1	unassigned	Microviridae	unassigned	unassigned
MK249163.1	unassigned	Microviridae	unassigned	Microvirus
MG945704.1	unassigned	Microviridae	unassigned	unassigned
MH617468.2	unassigned	Microviridae	unassigned	unassigned
MG945234.1	unassigned	Microviridae	unassigned	unassigned
MH617758.2	unassigned	Microviridae	unassigned	unassigned
MH617293.1	unassigned	Microviridae	unassigned	unassigned
MK249169.1	unassigned	Microviridae	unassigned	Microvirus
MG945687.1	unassigned	Microviridae	unassigned	unassigned
MG945534.1	unassigned	Microviridae	unassigned	unassigned
MH572276.1	unassigned	Microviridae	unassigned	unassigned
MG945621.1	unassigned	Microviridae	unassigned	unassigned
MG945237.1	unassigned	Microviridae	unassigned	unassigned
MK249161.1	unassigned	Microviridae	unassigned	Microvirus
MK496809.1	unassigned	Microviridae	unassigned	unassigned
MG945798.1	unassigned	Microviridae	unassigned	unassigned
MH617502.2	unassigned	Microviridae	unassigned	unassigned
MG945871.1	unassigned	Microviridae	unassigned	unassigned
MG945489.1	unassigned	Microviridae	unassigned	unassigned
MH616912.1	unassigned	Microviridae	unassigned	unassigned
MG945854.1	unassigned	Microviridae	unassigned	unassigned
MK496744.1	unassigned	Microviridae	unassigned	unassigned
MG945403.1	unassigned	Microviridae	unassigned	unassigned
MH992183.1	unassigned	Microviridae	unassigned	unassigned
MH572407.1	unassigned	Microviridae	unassigned	unassigned
MG945224.1	unassigned	Microviridae	unassigned	unassigned
MH029519.1	unassigned	Microviridae	unassigned	unassigned
MH616854.2	unassigned	Microviridae	unassigned	unassigned
MK496810.1	unassigned	Microviridae	unassigned	unassigned
MH572278.1	unassigned	Microviridae	unassigned	unassigned
MH616947.2	unassigned	Microviridae	unassigned	unassigned
MH572353.1	unassigned	Microviridae	unassigned	unassigned
MG945167.1	unassigned	Microviridae	unassigned	unassigned
KM209275.1	Caudovirales	Ackermannviridae	Aglimvirinae	Limestonevirus
MH616751.2	unassigned	Microviridae	unassigned	unassigned
MH992184.1	unassigned	Microviridae	unassigned	unassigned
MK496811.1	unassigned	Microviridae	unassigned	unassigned
MH617153.2	unassigned	Microviridae	unassigned	unassigned
MK012496.1	unassigned	Microviridae	unassigned	unassigned
MG945837.1	unassigned	Microviridae	unassigned	unassigned
MG945879.1	unassigned	Microviridae	unassigned	unassigned
MH616735.2	unassigned	Microviridae	unassigned	unassigned
MK249172.1	unassigned	Microviridae	unassigned	Microvirus
MG945331.1	unassigned	Microviridae	unassigned	unassigned
MK765574.1	unassigned	Microviridae	unassigned	unassigned
MH617663.2	unassigned	Microviridae	unassigned	unassigned
MG945738.1	unassigned	Microviridae	unassigned	unassigned
MK249152.1	unassigned	Microviridae	unassigned	Microvirus
MH992154.1	unassigned	Microviridae	unassigned	unassigned
MH616950.2	unassigned	Microviridae	unassigned	unassigned
MK249145.1	unassigned	Microviridae	unassigned	Microvirus
MG945668.1	unassigned	Microviridae	unassigned	unassigned
MG945579.1	unassigned	Microviridae	unassigned	unassigned
MG945145.1	unassigned	Microviridae	unassigned	unassigned
MK496812.1	unassigned	Microviridae	unassigned	unassigned
MH616851.2	unassigned	Microviridae	unassigned	unassigned
MK249173.1	unassigned	Microviridae	unassigned	Microvirus
MK249177.1	unassigned	Microviridae	unassigned	Microvirus
MH992185.1	unassigned	Microviridae	unassigned	unassigned
MK496745.1	unassigned	Microviridae	unassigned	unassigned
MG945779.1	unassigned	Microviridae	unassigned	unassigned
MG945758.1	unassigned	Microviridae	unassigned	unassigned
MG945568.1	unassigned	Microviridae	unassigned	unassigned
MH617083.2	unassigned	Microviridae	unassigned	unassigned
MK249164.1	unassigned	Microviridae	unassigned	Microvirus
KT264782.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945761.1	unassigned	Microviridae	unassigned	unassigned
MG945609.1	unassigned	Microviridae	unassigned	unassigned
KT264775.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH617442.2	unassigned	Microviridae	unassigned	unassigned
MK496758.1	unassigned	Microviridae	unassigned	unassigned
MH992186.1	unassigned	Microviridae	unassigned	unassigned
MH029520.1	unassigned	Microviridae	unassigned	unassigned
MK249180.1	unassigned	Microviridae	unassigned	Microvirus
MK249176.1	unassigned	Microviridae	unassigned	Microvirus
MG945729.1	unassigned	Microviridae	unassigned	unassigned
MH617375.2	unassigned	Microviridae	unassigned	unassigned
MG945504.1	unassigned	Microviridae	unassigned	unassigned
MH992165.1	unassigned	Microviridae	unassigned	unassigned
MH616804.2	unassigned	Microviridae	unassigned	unassigned
MH992168.1	unassigned	Microviridae	unassigned	unassigned
MH572445.1	unassigned	Microviridae	unassigned	unassigned
MG945841.1	unassigned	Microviridae	unassigned	unassigned
MG945827.1	unassigned	Microviridae	unassigned	unassigned
MH617670.2	unassigned	Microviridae	unassigned	unassigned
MG945863.1	unassigned	Microviridae	unassigned	unassigned
KP087954.1	unassigned	Microviridae	unassigned	unassigned
MK249175.1	unassigned	Microviridae	unassigned	Microvirus
MH622905.2	unassigned	Microviridae	unassigned	unassigned
MH617454.2	unassigned	Microviridae	unassigned	unassigned
MG945536.1	unassigned	Microviridae	unassigned	unassigned
MH617338.2	unassigned	Microviridae	unassigned	unassigned
MH617044.2	unassigned	Microviridae	unassigned	unassigned
MG945656.1	unassigned	Microviridae	unassigned	unassigned
MH616844.1	unassigned	Microviridae	unassigned	unassigned
MH616867.2	unassigned	Microviridae	unassigned	unassigned
MH617438.2	unassigned	Microviridae	unassigned	unassigned
MK249140.1	unassigned	Microviridae	unassigned	Microvirus
MG883726.1	unassigned	Microviridae	unassigned	unassigned
MK249178.1	unassigned	Microviridae	unassigned	Microvirus
MH992158.1	unassigned	Microviridae	unassigned	unassigned
MH617729.2	unassigned	Microviridae	unassigned	unassigned
MK249142.1	unassigned	Microviridae	unassigned	Microvirus
MG945359.1	unassigned	Microviridae	unassigned	unassigned
MH572297.1	unassigned	Microviridae	unassigned	unassigned
MH617316.2	unassigned	Microviridae	unassigned	unassigned
MG945418.1	unassigned	Microviridae	unassigned	unassigned
MH616835.2	unassigned	Microviridae	unassigned	unassigned
MK496813.1	unassigned	Microviridae	unassigned	unassigned
MH616922.2	unassigned	Microviridae	unassigned	unassigned
MH616713.2	unassigned	Microviridae	unassigned	unassigned
MH617656.2	unassigned	Microviridae	unassigned	unassigned
MG945785.1	unassigned	Microviridae	unassigned	unassigned
MG945154.1	unassigned	Microviridae	unassigned	unassigned
MH617498.1	unassigned	Microviridae	unassigned	unassigned
MH029521.1	unassigned	Microviridae	unassigned	unassigned
MH572408.1	unassigned	Microviridae	unassigned	unassigned
MH616863.2	unassigned	Microviridae	unassigned	unassigned
MK249179.1	unassigned	Microviridae	unassigned	Microvirus
MG945204.1	unassigned	Microviridae	unassigned	unassigned
MG945431.1	unassigned	Microviridae	unassigned	unassigned
MK249132.1	unassigned	Microviridae	unassigned	Microvirus
MH617755.2	unassigned	Microviridae	unassigned	unassigned
MH617150.2	unassigned	Microviridae	unassigned	unassigned
MK496746.1	unassigned	Microviridae	unassigned	unassigned
KX513870.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH572406.1	unassigned	Microviridae	unassigned	unassigned
MK249154.1	unassigned	Microviridae	unassigned	Microvirus
MG945835.1	unassigned	Microviridae	unassigned	unassigned
MH617393.2	unassigned	Microviridae	unassigned	unassigned
MG945846.1	unassigned	Microviridae	unassigned	unassigned
KX513866.1	unassigned	Microviridae	Gokushovirinae	unassigned
MG945366.1	unassigned	Microviridae	unassigned	unassigned
MH617134.2	unassigned	Microviridae	unassigned	unassigned
MH572418.1	unassigned	Microviridae	unassigned	unassigned
MK249130.1	unassigned	Microviridae	unassigned	Microvirus
MH617697.2	unassigned	Microviridae	unassigned	unassigned
MH616635.2	unassigned	Microviridae	unassigned	unassigned
MG945405.1	unassigned	Microviridae	unassigned	unassigned
MK249136.1	unassigned	Microviridae	unassigned	Microvirus
MH617149.1	unassigned	Microviridae	unassigned	unassigned
MH616704.2	unassigned	Microviridae	unassigned	unassigned
MH616896.2	unassigned	Microviridae	unassigned	unassigned
MH622907.2	unassigned	Microviridae	unassigned	unassigned
MH617222.1	unassigned	Microviridae	unassigned	unassigned
KT264780.1	unassigned	Microviridae	Gokushovirinae	unassigned
MH572451.1	unassigned	Microviridae	unassigned	unassigned
MG945856.1	unassigned	Microviridae	unassigned	unassigned
MH617117.1	unassigned	Inoviridae	unassigned	unassigned
MG945577.1	unassigned	Microviridae	unassigned	unassigned
MG945727.1	unassigned	Microviridae	unassigned	unassigned
MK249181.1	unassigned	Microviridae	unassigned	Microvirus
MK249174.1	unassigned	Microviridae	unassigned	Microvirus
MH616985.2	unassigned	Microviridae	unassigned	unassigned
MH617102.2	unassigned	Microviridae	unassigned	unassigned
MH617515.2	unassigned	Microviridae	unassigned	unassigned
MH572422.1	unassigned	Microviridae	unassigned	unassigned
MH617651.2	unassigned	Microviridae	unassigned	unassigned
MK249155.1	unassigned	Microviridae	unassigned	Microvirus
MH931004.1	unassigned	Microviridae	unassigned	unassigned
MH029522.1	unassigned	Microviridae	unassigned	unassigned
MH617008.2	unassigned	Microviridae	unassigned	unassigned
MH617516.2	unassigned	Microviridae	unassigned	unassigned
MK496747.1	unassigned	Microviridae	unassigned	unassigned
MG945659.1	unassigned	Microviridae	unassigned	unassigned
MH617140.2	unassigned	Microviridae	unassigned	unassigned
KP087937.1	unassigned	Microviridae	unassigned	unassigned
MK249150.1	unassigned	Microviridae	unassigned	Microvirus
MK249158.1	unassigned	Microviridae	unassigned	Microvirus
MH617066.2	unassigned	Microviridae	unassigned	unassigned
KY245951.1	Caudovirales	Podoviridae	Autographivirinae	Friunavirus
MH029523.1	unassigned	Microviridae	unassigned	unassigned
MH552548.2	unassigned	Microviridae	unassigned	unassigned
MK249171.1	unassigned	Microviridae	unassigned	Microvirus
MH617647.1	Caudovirales	Myoviridae	unassigned	unassigned
MH029524.1	unassigned	Microviridae	unassigned	unassigned
MH617364.1	unassigned	Microviridae	unassigned	unassigned
MG945861.1	unassigned	Microviridae	unassigned	unassigned
MH572455.1	unassigned	Microviridae	unassigned	unassigned
MH617254.2	unassigned	Microviridae	unassigned	unassigned
MK249129.1	unassigned	Microviridae	unassigned	Microvirus
MH617422.2	unassigned	Microviridae	unassigned	unassigned
KT264783.1	unassigned	Microviridae	Gokushovirinae	unassigned
MK249186.1	unassigned	Microviridae	unassigned	Microvirus
MH029525.1	unassigned	Microviridae	unassigned	unassigned
MH616878.2	unassigned	Microviridae	unassigned	unassigned
MG945166.1	unassigned	Microviridae	unassigned	unassigned
MH029526.1	unassigned	Microviridae	unassigned	unassigned
MH572275.1	unassigned	Microviridae	unassigned	unassigned
MK249182.1	unassigned	Microviridae	unassigned	Microvirus
MK249187.1	unassigned	Microviridae	unassigned	Microvirus
MH572516.1	unassigned	Microviridae	unassigned	unassigned
MH616714.2	unassigned	Microviridae	unassigned	unassigned
MG945834.1	unassigned	Microviridae	unassigned	unassigned
MK249170.1	unassigned	Microviridae	unassigned	Microvirus
MG945484.1	unassigned	Microviridae	unassigned	unassigned
MH617494.1	unassigned	Microviridae	unassigned	unassigned
MH617459.2	unassigned	Microviridae	unassigned	unassigned
MH617274.2	unassigned	Microviridae	unassigned	unassigned
MK496748.1	unassigned	Microviridae	unassigned	unassigned
MH617057.2	unassigned	Microviridae	unassigned	unassigned
MK496749.1	unassigned	Microviridae	unassigned	unassigned
MH617662.2	unassigned	Microviridae	unassigned	unassigned
MK496814.1	unassigned	Microviridae	unassigned	unassigned
MH992188.1	unassigned	Microviridae	unassigned	unassigned
MK249183.1	unassigned	Microviridae	unassigned	Microvirus
MK765575.1	unassigned	Microviridae	unassigned	unassigned
